article_id,article_name,category,sub_category,brand,purchase_price,recommended_selling_price
ART-00001,Bizim Small Appliances Item 1,Electronics,Small Appliances,Bizim,4066.21,4684.07
ART-00002,Sutas Bath & Body Item 2,Personal Care,Bath & Body,Sutas,258.4,313.85
ART-00003,Eti Detergents Item 3,Home Care,Detergents,Eti,252.76,317.89
ART-00004,Bizim Fresheners Item 4,Home Care,Fresheners,Bizim,491.99,673.49
ART-00005,Tukas Men Item 5,Apparel,Men,Tukas,420.64,520.73
ART-00006,Penguen Meat & Poultry Item 6,Fresh Produce,Meat & Poultry,Penguen,243.62,331.66
ART-00007,Mis Snacks Item 7,Grocery,Snacks,Mis,492.91,693.32
ART-00008,Bizim Dairy Item 8,Grocery,Dairy,Bizim,237.64,332.75
ART-00009,Penguen Oral Care Item 9,Personal Care,Oral Care,Penguen,207.13,254.79
ART-00010,Eti Meat & Poultry Item 10,Fresh Produce,Meat & Poultry,Eti,255.38,306.8
ART-00011,Tamek Fruits Item 11,Fresh Produce,Fruits,Tamek,201.04,247.48
ART-00012,Karaca Meat & Poultry Item 12,Fresh Produce,Meat & Poultry,Karaca,111.26,138.77
ART-00013,Ulker Snacks Item 13,Grocery,Snacks,Ulker,406.42,516.3
ART-00014,LC Waikiki Snacks Item 14,Grocery,Snacks,LC Waikiki,440.66,548.36
ART-00015,Tukas Vegetables Item 15,Fresh Produce,Vegetables,Tukas,357.33,479.84
ART-00016,Komili Oral Care Item 16,Personal Care,Oral Care,Komili,234.97,309.79
ART-00017,LC Waikiki Fresheners Item 17,Home Care,Fresheners,LC Waikiki,279.92,370.91
ART-00018,Komili Detergents Item 18,Home Care,Detergents,Komili,325.33,383.0
ART-00019,Komili Staples Item 19,Grocery,Staples,Komili,321.17,445.66
ART-00020,Eti Small Appliances Item 20,Electronics,Small Appliances,Eti,1985.36,2638.08
ART-00021,Bizim Small Appliances Item 21,Electronics,Small Appliances,Bizim,4858.28,6841.59
ART-00022,Karaca Staples Item 22,Grocery,Staples,Karaca,380.42,525.2
ART-00023,Mis Detergents Item 23,Home Care,Detergents,Mis,283.47,364.58
ART-00024,Bizim Meat & Poultry Item 24,Fresh Produce,Meat & Poultry,Bizim,660.74,537.1
ART-00025,Mis Men Item 25,Apparel,Men,Mis,2556.67,3329.55
ART-00026,Penguen Haircare Item 26,Personal Care,Haircare,Penguen,621.88,815.79
ART-00027,DeFacto Men Item 27,Apparel,Men,DeFacto,1107.64,1280.26
ART-00028,Torku Cleaners Item 28,Home Care,Cleaners,Torku,72.44,102.39
ART-00029,Arcelik Staples Item 29,Grocery,Staples,Arcelik,411.69,594.23
ART-00030,Komili Men Item 30,Apparel,Men,Komili,2047.3,2935.94
ART-00031,Vestel Oral Care Item 31,Personal Care,Oral Care,Vestel,704.32,899.38
ART-00032,Mis Haircare Item 32,Personal Care,Haircare,Mis,349.24,472.0
ART-00033,Vestel Cleaners Item 33,Home Care,Cleaners,Vestel,292.83,358.53
ART-00034,Pinar Beverages Item 34,Grocery,Beverages,Pinar,302.39,368.62
ART-00035,Eti Skincare Item 35,Personal Care,Skincare,Eti,580.88,678.27
ART-00036,Sutas Staples Item 36,Grocery,Staples,Sutas,54.01,65.97
ART-00037,Sek Vegetables Item 37,Fresh Produce,Vegetables,Sek,229.52,313.76
ART-00038,Arcelik Kids Item 38,Apparel,Kids,Arcelik,880.39,1137.37
ART-00039,Dalan Accessories Item 39,Electronics,Accessories,Dalan,574.96,735.56
ART-00040,Yumos Batteries Item 40,Electronics,Batteries,Yumos,4332.8,5053.13
ART-00041,Dalan Meat & Poultry Item 41,Fresh Produce,Meat & Poultry,Dalan,52.43,71.75
ART-00042,Sek Snacks Item 42,Grocery,Snacks,Sek,111.3,142.97
ART-00043,Bizim Accessories Item 43,Electronics,Accessories,Bizim,2366.88,3342.85
ART-00044,Karaca Dairy Item 44,Grocery,Dairy,Karaca,67.0,90.16
ART-00045,Eti Men Item 45,Apparel,Men,Eti,2793.83,3924.24
ART-00046,Arcelik Bath & Body Item 46,Personal Care,Bath & Body,Arcelik,411.02,579.29
ART-00047,Tukas Snacks Item 47,Grocery,Snacks,Tukas,21.03,26.65
ART-00048,Bingo Batteries Item 48,Electronics,Batteries,Bingo,3513.3,4810.24
ART-00049,Arcelik Kids Item 49,Apparel,Kids,Arcelik,633.43,784.83
ART-00050,Karaca Frozen Item 50,Grocery,Frozen,Karaca,49.26,61.28
ART-00051,Arcelik Frozen Item 51,Grocery,Frozen,Arcelik,261.37,367.44
ART-00052,Vestel Skincare Item 52,Personal Care,Skincare,Vestel,110.08,132.73
ART-00053,Torku Men Item 53,Apparel,Men,Torku,1330.57,1906.01
ART-00054,LC Waikiki Men Item 54,Apparel,Men,LC Waikiki,1864.65,2490.83
ART-00055,LC Waikiki Small Appliances Item 55,Electronics,Small Appliances,LC Waikiki,2869.61,3572.41
ART-00056,Sutas Detergents Item 56,Home Care,Detergents,Sutas,173.66,220.33
ART-00057,Mis Meat & Poultry Item 57,Fresh Produce,Meat & Poultry,Mis,199.17,284.56
ART-00058,Yumos Staples Item 58,Grocery,Staples,Yumos,318.16,419.62
ART-00059,Karaca Staples Item 59,Grocery,Staples,Karaca,122.31,150.39
ART-00060,Torku Detergents Item 60,Home Care,Detergents,Torku,246.94,295.67
ART-00061,Mis Kids Item 61,Apparel,Kids,Mis,1912.7,2766.09
ART-00062,Pinar Meat & Poultry Item 62,Fresh Produce,Meat & Poultry,Pinar,277.11,364.78
ART-00063,Komili Fruits Item 63,Fresh Produce,Fruits,Komili,127.85,181.15
ART-00064,Komili Meat & Poultry Item 64,Fresh Produce,Meat & Poultry,Komili,130.77,174.11
ART-00065,Sek Vegetables Item 65,Fresh Produce,Vegetables,Sek,284.37,399.79
ART-00066,Bizim Women Item 66,Apparel,Women,Bizim,2734.94,3839.39
ART-00067,Bizim Dairy Item 67,Grocery,Dairy,Bizim,41.16,51.45
ART-00068,Tamek Oral Care Item 68,Personal Care,Oral Care,Tamek,900.34,797.09
ART-00069,Pinar Small Appliances Item 69,Electronics,Small Appliances,Pinar,648.18,929.18
ART-00070,Karaca Fruits Item 70,Fresh Produce,Fruits,Karaca,43.33,54.63
ART-00071,Bingo Men Item 71,Apparel,Men,Bingo,556.85,691.87
ART-00072,Sek Beverages Item 72,Grocery,Beverages,Sek,347.39,469.0
ART-00073,Bingo Fresheners Item 73,Home Care,Fresheners,Bingo,585.35,804.76
ART-00074,Tamek Haircare Item 74,Personal Care,Haircare,Tamek,711.06,823.01
ART-00075,Bingo Vegetables Item 75,Fresh Produce,Vegetables,Bingo,326.83,460.58
ART-00076,Tamek Oral Care Item 76,Personal Care,Oral Care,Tamek,640.53,757.38
ART-00077,Torku Dairy Item 77,Grocery,Dairy,Torku,115.79,165.06
ART-00078,Torku Cleaners Item 78,Home Care,Cleaners,Torku,164.84,222.21
ART-00079,Bizim Batteries Item 79,Electronics,Batteries,Bizim,4335.33,6243.16
ART-00080,Vestel Cleaners Item 80,Home Care,Cleaners,Vestel,263.82,381.05
ART-00081,Pinar Women Item 81,Apparel,Women,Pinar,522.96,753.65
ART-00082,Ulker Oral Care Item 82,Personal Care,Oral Care,Ulker,131.3,168.11
ART-00083,Bingo Vegetables Item 83,Fresh Produce,Vegetables,Bingo,254.3,331.46
ART-00084,Sek Small Appliances Item 84,Electronics,Small Appliances,Sek,1348.14,1837.02
ART-00085,Karaca Frozen Item 85,Grocery,Frozen,Karaca,349.69,500.78
