date,store_id,article_id,opening_stock,received_qty,sold_qty,closing_stock
2024-03-04,S-001,ART-00072,152,0,26,126
2024-03-04,S-001,ART-00003,75,0,36,39
2024-03-04,S-001,ART-00051,34,0,30,4
2024-03-04,S-001,ART-00053,151,71,19,203
2024-03-04,S-001,ART-00081,98,48,10,136
2024-03-04,S-001,ART-00031,160,86,14,232
2024-03-04,S-001,ART-00085,84,25,23,86
2024-03-04,S-001,ART-00002,114,0,46,68
2024-03-04,S-001,ART-00064,47,46,20,73
2024-03-04,S-001,ART-00023,161,70,34,197
2024-03-04,S-001,ART-00050,160,0,0,160
2024-03-04,S-001,ART-00048,152,0,12,140
2024-03-04,S-001,ART-00015,199,56,10,245
2024-03-04,S-001,ART-00027,69,22,11,80
2024-03-04,S-001,ART-00035,190,0,14,176
2024-03-04,S-001,ART-00033,123,55,28,150
2024-03-04,S-001,ART-00021,175,0,29,146
2024-03-04,S-001,ART-00019,29,41,33,37
2024-03-04,S-001,ART-00043,111,0,24,87
2024-03-04,S-001,ART-00011,77,70,9,138
2024-03-04,S-001,ART-00047,83,40,13,110
2024-03-04,S-001,ART-00067,144,0,50,94
2024-03-04,S-001,ART-00100,154,80,31,203
2024-03-04,S-001,ART-00032,89,0,48,41
2024-03-04,S-001,ART-00086,30,56,22,64
2024-03-04,S-001,ART-00077,137,40,0,177
2024-03-04,S-001,ART-00046,174,0,14,160
2024-03-04,S-001,ART-00061,59,0,17,42
2024-03-04,S-001,ART-00057,117,84,40,161
2024-03-04,S-001,ART-00030,155,0,30,125
2024-03-04,S-001,ART-00094,155,0,5,150
2024-03-04,S-001,ART-00028,69,0,19,50
2024-03-04,S-001,ART-00007,31,0,13,18
2024-03-04,S-001,ART-00068,190,98,41,247
2024-03-04,S-001,ART-00097,155,0,41,114
2024-03-04,S-001,ART-00059,82,22,38,66
2024-03-04,S-001,ART-00014,172,0,19,153
2024-03-04,S-001,ART-00049,182,29,45,166
2024-03-04,S-001,ART-00052,100,0,29,71
2024-03-04,S-001,ART-00026,71,0,43,28
2024-03-04,S-001,ART-00022,30,0,10,20
2024-03-04,S-001,ART-00089,37,0,28,9
2024-03-04,S-001,ART-00037,98,33,9,122
2024-03-04,S-001,ART-00044,152,56,24,184
2024-03-04,S-001,ART-00095,82,0,37,45
2024-03-04,S-001,ART-00018,142,76,37,181
2024-03-04,S-001,ART-00073,169,63,47,185
2024-03-04,S-001,ART-00074,44,38,24,58
2024-03-04,S-001,ART-00062,117,0,47,70
2024-03-04,S-001,ART-00088,51,0,22,29
2024-03-04,S-001,ART-00034,45,0,21,24
2024-03-04,S-001,ART-00066,121,0,50,71
2024-03-04,S-001,ART-00016,65,0,45,20
2024-03-04,S-001,ART-00020,21,50,9,62
2024-03-04,S-001,ART-00055,20,51,31,40
2024-03-04,S-001,ART-00041,49,0,0,49
2024-03-04,S-002,ART-00025,63,0,33,30
2024-03-04,S-002,ART-00028,197,32,0,229
2024-03-04,S-002,ART-00036,88,0,28,60
2024-03-04,S-002,ART-00054,38,0,1,37
2024-03-04,S-002,ART-00020,75,94,43,126
2024-03-04,S-002,ART-00043,58,60,50,68
2024-03-04,S-002,ART-00063,54,92,20,126
2024-03-04,S-002,ART-00071,193,90,23,267
2024-03-04,S-002,ART-00034,25,0,3,22
2024-03-04,S-002,ART-00093,195,0,13,182
2024-03-04,S-002,ART-00058,197,0,48,149
2024-03-04,S-002,ART-00022,88,96,2,182
2024-03-04,S-002,ART-00085,90,0,12,78
2024-03-04,S-002,ART-00030,145,38,27,156
2024-03-04,S-002,ART-00037,93,0,27,66
2024-03-04,S-002,ART-00053,26,0,8,18
2024-03-04,S-002,ART-00015,120,0,5,109
2024-03-04,S-002,ART-00061,183,0,7,176
2024-03-04,S-002,ART-00096,16,0,5,11
2024-03-04,S-002,ART-00039,81,85,13,153
2024-03-04,S-002,ART-00055,173,0,29,144
2024-03-04,S-002,ART-00092,196,0,18,178
2024-03-04,S-002,ART-00087,92,0,44,48
2024-03-04,S-002,ART-00060,19,45,2,62
2024-03-04,S-002,ART-00100,193,73,24,242
2024-03-04,S-002,ART-00076,109,55,14,150
2024-03-04,S-002,ART-00098,86,92,29,149
2024-03-04,S-002,ART-00024,26,0,21,5
2024-03-04,S-002,ART-00095,170,33,40,163
2024-03-04,S-002,ART-00067,97,71,9,159
2024-03-04,S-002,ART-00075,137,0,27,110
2024-03-04,S-002,ART-00090,158,0,48,110
2024-03-04,S-002,ART-00074,153,0,39,114
2024-03-04,S-002,ART-00081,169,0,16,153
2024-03-04,S-002,ART-00064,52,0,23,29
2024-03-04,S-002,ART-00079,173,0,9,164
2024-03-04,S-002,ART-00007,15,0,0,15
2024-03-04,S-002,ART-00078,82,0,27,55
2024-03-04,S-002,ART-00094,85,0,47,38
2024-03-04,S-002,ART-00010,91,0,4,87
2024-03-04,S-002,ART-00084,23,30,27,26
2024-03-04,S-002,ART-00044,55,0,35,20
2024-03-04,S-002,ART-00073,169,0,29,140
2024-03-04,S-002,ART-00046,10,0,3,7
2024-03-04,S-002,ART-00051,101,0,43,58
2024-03-04,S-002,ART-00097,117,95,34,178
2024-03-04,S-002,ART-00086,119,0,31,88
2024-03-04,S-002,ART-00035,172,0,11,161
2024-03-04,S-002,ART-00014,130,0,4,126
2024-03-04,S-002,ART-00057,175,35,4,206
2024-03-04,S-002,ART-00082,54,0,20,34
2024-03-04,S-002,ART-00052,100,0,14,86
2024-03-04,S-002,ART-00041,192,100,48,244
2024-03-04,S-002,ART-00012,199,0,18,181
2024-03-04,S-002,ART-00049,43,0,7,36
2024-03-04,S-002,ART-00033,110,43,38,115
2024-03-04,S-002,ART-00099,146,36,42,140
2024-03-04,S-002,ART-00016,145,0,25,120
2024-03-04,S-002,ART-00068,53,0,19,34
2024-03-04,S-002,ART-00069,29,94,39,84
2024-03-04,S-002,ART-00047,32,0,28,4
