transaction_id,date,store_id,article_id,quantity,selling_price,currency,discount_pct,customer_id,weather_condition
TXN-122138,2024-03-24,S-004,ART-00030,2,2987.19,TRY,0.0,CUST-000810,Sunny
TXN-115020,2024-03-16,S-005,ART-00027,1,1252.72,TRY,0.0,CUST-000720,Cold
TXN-104166,2024-03-05,S-002,ART-00018,1,382.32,TRY,0.0,CUST-000380,Cloudy
TXN-105340,2024-03-06,S-004,ART-00033,4,360.47,TRY,0.0,CUST-001317,Hot
TXN-109543,2024-03-10,S-004,ART-00010,2,293.74,TRY,0.0,CUST-000024,Sunny
TXN-123346,2024-03-25,S-004,ART-00027,2,1265.4,TRY,8.2,CUST-000350,Sunny
TXN-110445,2024-03-11,S-004,ART-00030,2,2871.02,TRY,0.0,CUST-000266,Cold
TXN-127857,2024-03-31,S-001,ART-00014,1,571.48,TRY,12.9,CUST-001248,Cloudy
TXN-109444,2024-03-10,S-004,ART-00033,2,373.7,TRY,9.9,CUST-001137,Humid
TXN-116169,2024-03-17,S-004,ART-00026,1,804.12,TRY,0.0,CUST-000041,Cloudy
TXN-100352,01-03-2024,S-003,ART-00020,1,274031.0,KRS,0.0,CUST-001297,Rainy
TXN-111514,2024-03-13,S-001,ART-00036,1,68.84,TRY,0.0,CUST-001479,Hot
TXN-127575,2024-03-30,S-005,ART-00030,1,2846.16,TRY,0.0,CUST-000195,Sunny
TXN-124022,2024-03-26,S-004,ART-00033,3,365.99,TRY,0.0,CUST-000056,Rainy
TXN-105122,2024-03-06,S-002,ART-00014,1,534.66,TRY,10.9,CUST-000426,Sunny
TXN-125221,2024-03-28,S-002,ART-00040,3,4824.98,TRY,0.0,CUST-001094,Cold
TXN-115948,2024-03-17,S-004,ART-00031,1,890.22,TRY,0.0,N/A,Rainy
TXN-126127,2024-03-29,S-003,ART-00105,1,26632.0,KRS,0.0,CUST-000240,Cloudy
TXN-125707,29-03-2024,S-001,ART-00020,4,2558.85,TRY,9.3,CUST-000575,Hot
TXN-116861,2024-03-18,S-004,ART-00018,1,370.44,TRY,0.0,CUST-001046,Sunny
TXN-120419,2024-03-22,S-004,ART-00015,1,458.45,TRY,0.0,CUST-000927,Rainy
TXN-122782,2024-03-25,S-002,ART-00023,1,353.5,TRY,0.0,CUST-000173,Cold
TXN-112029,2024-03-13,S-004,ART-00188,1,330.76,TRY,0.0,CUST-000185,Humid
TXN-115686,2024-03-17,S-003,ART-00087,2,20200.0,KRS,0.0,CUST-001378,Hot
TXN-127104,2024-03-30,S-003,ART-00020,2,265804.0,KRS,0.0,CUST-000719,Cloudy
TXN-113939,2024-03-15,S-005,ART-00011,2,258.9,TRY,0.0,CUST-000507,Rainy
TXN-122465,2024-03-24,S-005,ART-00073,2,830.22,TRY,0.0,,Sunny
TXN-112948,2024-03-14,S-004,ART-00174,2,4895.85,TRY,0.0,CUST-000734,Sunny
TXN-116580,2024-03-18,S-002,ART-00004,1,688.1,TRY,0.0,CUST-001165,Humid
TXN-126115,2024-03-29,S-003,ART-00149,1,25934.0,KRS,0.0,CUST-000728,Cold
TXN-116404,2024-03-18,S-001,ART-00038,1,1092.48,TRY,0.0,CUST-001312,Hot
TXN-122655,2024-03-25,S-001,ART-00142,4,2524.1,TRY,0.0,CUST-000150,Rainy
TXN-125397,2024-03-28,S-004,ART-00017,1,366.83,TRY,0.0,NA,Humid
TXN-104789,2024-03-06,S-001,ART-00008,2,320.39,TRY,0.0,CUST-000717,Rainy
TXN-110343,2024-03-11,S-004,ART-00017,2,376.21,TRY,0.0,CUST-001016,Cold
TXN-126128,2024-03-29,S-003,ART-00021,2,670767.0,KRS,8.8,CUST-001404,Sunny
TXN-121650,2024-03-24,S-002,ART-00017,1,375.84,TRY,0.0,CUST-000919,Hot
TXN-113723,2024-03-15,S-004,ART-00023,1,353.45,TRY,0.0,CUST-000394,Cloudy
