date,store_id,article_id,opening_stock,received_qty,sold_qty,closing_stock,reason,rule_id
2024-03-04,S-002,ART-00071,193,90,23,267,"opening 193 + received 90 - sold 23 = 260, but closing is 267",INVENTORY_STOCK_IMBALANCE
2024-03-04,S-002,ART-00015,120,0,5,109,"opening 120 + received 0 - sold 5 = 115, but closing is 109",INVENTORY_STOCK_IMBALANCE
2024-03-04,S-004,ART-00083,162,0,15,151,"opening 162 + received 0 - sold 15 = 147, but closing is 151",INVENTORY_STOCK_IMBALANCE
2024-03-04,S-004,ART-00073,161,0,49,102,"opening 161 + received 0 - sold 49 = 112, but closing is 102",INVENTORY_STOCK_IMBALANCE
2024-03-04,S-005,ART-00083,195,0,21,168,"opening 195 + received 0 - sold 21 = 174, but closing is 168",INVENTORY_STOCK_IMBALANCE
2024-03-04,S-005,ART-00098,79,0,20,49,"opening 79 + received 0 - sold 20 = 59, but closing is 49",INVENTORY_STOCK_IMBALANCE
2024-03-11,S-001,ART-00065,132,0,23,104,"opening 132 + received 0 - sold 23 = 109, but closing is 104",INVENTORY_STOCK_IMBALANCE
2024-03-11,S-002,ART-00038,138,71,28,176,"opening 138 + received 71 - sold 28 = 181, but closing is 176",INVENTORY_STOCK_IMBALANCE
2024-03-11,S-002,ART-00048,34,0,9,27,"opening 34 + received 0 - sold 9 = 25, but closing is 27",INVENTORY_STOCK_IMBALANCE
2024-03-11,S-002,ART-00071,51,41,21,77,"opening 51 + received 41 - sold 21 = 71, but closing is 77",INVENTORY_STOCK_IMBALANCE
2024-03-11,S-003,ART-00058,165,0,48,108,"opening 165 + received 0 - sold 48 = 117, but closing is 108",INVENTORY_STOCK_IMBALANCE
2024-03-11,S-003,ART-00082,30,0,30,7,"opening 30 + received 0 - sold 30 = 0, but closing is 7",INVENTORY_STOCK_IMBALANCE
2024-03-11,S-005,ART-00029,189,32,37,189,"opening 189 + received 32 - sold 37 = 184, but closing is 189",INVENTORY_STOCK_IMBALANCE
2024-03-18,S-001,ART-00077,84,0,19,55,"opening 84 + received 0 - sold 19 = 65, but closing is 55",INVENTORY_STOCK_IMBALANCE
2024-03-18,S-001,ART-00020,80,65,16,125,"opening 80 + received 65 - sold 16 = 129, but closing is 125",INVENTORY_STOCK_IMBALANCE
2024-03-18,S-003,ART-00064,26,0,12,12,"opening 26 + received 0 - sold 12 = 14, but closing is 12",INVENTORY_STOCK_IMBALANCE
2024-03-18,S-003,ART-00093,59,0,22,30,"opening 59 + received 0 - sold 22 = 37, but closing is 30",INVENTORY_STOCK_IMBALANCE
2024-03-18,S-003,ART-00022,47,52,45,64,"opening 47 + received 52 - sold 45 = 54, but closing is 64",INVENTORY_STOCK_IMBALANCE
2024-03-18,S-004,ART-00038,53,0,38,11,"opening 53 + received 0 - sold 38 = 15, but closing is 11",INVENTORY_STOCK_IMBALANCE
2024-03-18,S-004,ART-00010,63,0,47,8,"opening 63 + received 0 - sold 47 = 16, but closing is 8",INVENTORY_STOCK_IMBALANCE
2024-03-18,S-004,ART-00075,130,0,29,108,"opening 130 + received 0 - sold 29 = 101, but closing is 108",INVENTORY_STOCK_IMBALANCE
2024-03-18,S-005,ART-00085,98,42,23,121,"opening 98 + received 42 - sold 23 = 117, but closing is 121",INVENTORY_STOCK_IMBALANCE
2024-03-25,S-001,ART-00079,116,45,47,110,"opening 116 + received 45 - sold 47 = 114, but closing is 110",INVENTORY_STOCK_IMBALANCE
2024-03-25,S-003,ART-00011,78,0,38,32,"opening 78 + received 0 - sold 38 = 40, but closing is 32",INVENTORY_STOCK_IMBALANCE
2024-03-25,S-004,ART-00007,93,0,10,80,"opening 93 + received 0 - sold 10 = 83, but closing is 80",INVENTORY_STOCK_IMBALANCE
2024-03-25,S-004,ART-00070,50,0,9,32,"opening 50 + received 0 - sold 9 = 41, but closing is 32",INVENTORY_STOCK_IMBALANCE
2024-03-25,S-005,ART-00051,156,0,12,150,"opening 156 + received 0 - sold 12 = 144, but closing is 150",INVENTORY_STOCK_IMBALANCE
2024-03-25,S-005,ART-00008,15,0,12,0,"opening 15 + received 0 - sold 12 = 3, but closing is 0",INVENTORY_STOCK_IMBALANCE
