rank,article_id,article_name,category,transactions,units,revenue,cost,gross_margin,gross_margin_pct
1,ART-00186,Eti Haircare Item 186,Personal Care,39,77,26195.62314,37404.29,-11208.666860000001,-0.42788319255076906
2,ART-00113,Arcelik Men Item 113,Apparel,42,72,69874.31647,96885.36000000002,-27011.04353000001,-0.3865661217823432
3,ART-00024,Bizim Meat & Poultry Item 24,Fresh Produce,583,1091,556270.63398,720867.34,-164596.70601999993,-0.2958932144994693
4,ART-00068,Tamek Oral Care Item 68,Personal Care,34,57,43558.21607,51319.38,-7761.163929999995,-0.17817910443181276
5,ART-00161,Karaca Haircare Item 161,Personal Care,32,70,7850.24197,7441.0,409.24197000000004,0.05213112813132816
6,ART-00177,Vestel Dairy Item 177,Grocery,35,83,36856.88125,34525.51,2331.3712499999965,0.06325470769450947
7,ART-00142,Arcelik Small Appliances Item 142,Electronics,34,74,183468.31829,169908.44,13559.878289999993,0.07390855498313617
8,ART-00187,Vestel Batteries Item 187,Electronics,33,58,88391.28085,81730.70000000001,6660.580849999984,0.07535336953995485
9,ART-00074,Tamek Haircare Item 74,Personal Care,38,61,47309.38786,43374.659999999996,3934.7278600000063,0.08317012833993591
10,ART-00160,Sek Snacks Item 160,Grocery,44,97,15564.41627,14261.91,1302.5062699999999,0.0836848775697773
