rank,article_id,article_name,category,transactions,units,revenue,cost,gross_margin,gross_margin_pct
1,ART-00024,Bizim Meat & Poultry Item 24,Fresh Produce,583,1091,556270.63398,720867.34,-164596.70601999993,-0.2958932144994693
2,ART-00113,Arcelik Men Item 113,Apparel,42,72,69874.31647,96885.36000000002,-27011.04353000001,-0.3865661217823432
3,ART-00186,Eti Haircare Item 186,Personal Care,39,77,26195.62314,37404.29,-11208.666860000001,-0.42788319255076906
4,ART-00068,Tamek Oral Care Item 68,Personal Care,34,57,43558.21607,51319.38,-7761.163929999995,-0.17817910443181276
5,ART-00047,Tukas Snacks Item 47,Grocery,32,56,1432.89671,1177.68,255.21670999999992,0.17811242654050055
6,ART-00199,Karaca Vegetables Item 199,Fresh Produce,27,47,2359.07676,2034.16,324.91675999999984,0.13773047384859144
7,ART-00161,Karaca Haircare Item 161,Personal Care,32,70,7850.24197,7441.0,409.24197000000004,0.05213112813132816
8,ART-00070,Karaca Fruits Item 70,Fresh Produce,27,46,2485.76289,1993.1799999999998,492.58289000000013,0.19816165571608488
9,ART-00067,Bizim Dairy Item 67,Grocery,37,70,3467.01256,2881.2,585.8125600000003,0.1689675332471251
10,ART-00165,Bingo Fruits Item 165,Fresh Produce,38,70,5761.14729,5072.9,688.2472900000002,0.11946358170613622
