rank,article_id,article_name,category,transactions,units,revenue,cost,gross_margin,gross_margin_pct
1,ART-00047,Tukas Snacks Item 47,Grocery,32,56,1432.89671,1177.68,255.21670999999992,0.17811242654050055
2,ART-00199,Karaca Vegetables Item 199,Fresh Produce,27,47,2359.07676,2034.16,324.91675999999984,0.13773047384859144
3,ART-00070,Karaca Fruits Item 70,Fresh Produce,27,46,2485.76289,1993.1799999999998,492.58289000000013,0.19816165571608488
4,ART-00067,Bizim Dairy Item 67,Grocery,37,70,3467.01256,2881.2,585.8125600000003,0.1689675332471251
5,ART-00050,Karaca Frozen Item 50,Grocery,40,77,4610.05368,3793.02,817.03368,0.17722866949349708
6,ART-00041,Dalan Meat & Poultry Item 41,Fresh Produce,35,67,4622.13216,3512.81,1109.3221600000002,0.24000225904401665
7,ART-00044,Karaca Dairy Item 44,Grocery,27,58,4807.27164,3886.0,921.2716399999999,0.19164126951644445
8,ART-00159,DeFacto Fresheners Item 159,Home Care,36,53,5338.02748,3907.69,1430.3374799999997,0.2679524384913807
9,ART-00165,Bingo Fruits Item 165,Fresh Produce,38,70,5761.14729,5072.9,688.2472900000002,0.11946358170613622
10,ART-00122,DeFacto Skincare Item 122,Personal Care,25,31,5794.326300000001,5092.99,701.3363000000008,0.12103845446191057
