day,transactions,units,revenue,cost,gross_margin,gross_margin_pct
2024-03-01,750,1423,1642362.36252,1335303.97,307058.39252,0.18696141577968045
2024-03-02,1130,2179,2295916.96278,1887865.54,408051.42278000014,0.17772917287300888
2024-03-03,1126,2101,2420967.83774,1989620.27,431347.56773999985,0.17817153991713808
2024-03-04,925,1753,2074633.78858,1705932.29,368701.4985799999,0.17771883433575072
2024-03-05,714,1326,1335992.95835,1100019.31,235973.64834999992,0.17662791324995902
2024-03-06,888,1705,1819346.76205,1484910.8800000001,334435.8820499999,0.1838219568836701
2024-03-07,809,1597,1779056.04853,1459903.7,319152.3485300001,0.1793942067163705
2024-03-08,873,1651,1732902.63244,1427727.84,305174.79244,0.1761061393335764
2024-03-09,1106,2136,2146723.96406,1763121.02,383602.9440600001,0.17869225409610165
2024-03-10,1214,2343,2395207.42572,1971843.7,423363.7257200002,0.1767545145250779
2024-03-11,882,1710,1778776.88595,1437071.36,341705.5259499999,0.19210139767894702
2024-03-12,791,1518,1593116.20108,1301729.96,291386.24108000007,0.1829033192195676
2024-03-13,829,1567,1744994.57026,1431809.14,313185.43026000005,0.17947644972519095
2024-03-14,862,1692,1753307.37254,1420435.75,332871.6225399999,0.18985354636236537
2024-03-15,820,1635,1661028.35777,1339054.43,321973.92776999995,0.19384011492872008
2024-03-16,1138,2156,2307204.15169,1890166.06,417038.09169000015,0.18075474222102306
2024-03-17,1179,2276,2634745.51182,2164568.14,470177.37182,0.17845267017656521
2024-03-18,791,1549,1615350.26526,1351338.95,264011.31526000006,0.16343905154063035
2024-03-19,901,1747,1780631.8136,1467555.89,313075.9236000001,0.17582294172709265
2024-03-20,770,1530,1584234.67799,1296653.33,287581.3479899999,0.18152698712217888
2024-03-21,685,1296,1252249.59848,1022318.78,229930.8184799999,0.18361420818908109
2024-03-22,940,1831,1832405.22391,1500538.44,331866.78391,0.18110993113295112
2024-03-23,821,1569,1615144.02449,1328279.15,286864.8744900001,0.1776094702022508
2024-03-24,1137,2141,2216128.37737,1838913.18,377215.19736999995,0.17021360369820351
2024-03-25,868,1678,1833341.12894,1502693.7,330647.42894,0.18035237617298944
2024-03-26,766,1464,1592888.20937,1311419.66,281468.54937000014,0.1767032662520135
2024-03-27,645,1240,1316265.65672,1090974.87,225290.78671999997,0.17115905559778993
2024-03-28,688,1307,1361069.20519,1116373.65,244695.55518999998,0.17978186139024535
2024-03-29,938,1800,1968036.89364,1618350.3,349686.59363999986,0.1776829462750741
2024-03-30,1125,2161,2351220.3343,1936717.1,414503.2343000001,0.1762928077191052
2024-03-31,949,1765,1988407.32819,1628465.8699999999,359941.45819000015,0.18101998171453448
