store_id,week,articles,inventory_sold_qty,transaction_units,difference
S-001,2024-03-04,56,1427,929,-498
S-001,2024-03-11,72,1800,1375,-425
S-001,2024-03-18,52,1332,816,-516
S-001,2024-03-25,79,1563,1302,-261
S-002,2024-03-04,79,1820,2332,512
S-002,2024-03-11,72,1649,2103,454
S-002,2024-03-18,62,1629,1684,55
S-002,2024-03-25,61,1293,1986,693
S-003,2024-03-04,58,1226,1111,-115
S-003,2024-03-11,74,1947,1224,-723
S-003,2024-03-18,78,2062,1275,-787
S-003,2024-03-25,51,1043,646,-397
S-004,2024-03-04,52,1329,1300,-29
S-004,2024-03-11,61,1606,1894,288
S-004,2024-03-18,60,1353,1763,410
S-004,2024-03-25,64,1518,1694,176
S-005,2024-03-04,68,1729,1247,-482
S-005,2024-03-11,72,1768,1256,-512
S-005,2024-03-18,76,1804,998,-806
S-005,2024-03-25,79,1910,1237,-673
