rank,article_id,article_name,category,transactions,units,revenue,cost,gross_margin,gross_margin_pct
1,ART-00124,Tamek Cleaners Item 124,Home Care,39,74,39953.00573,28068.2,11884.805729999996,0.2974696274497292
2,ART-00100,Ulker Women Item 100,Apparel,25,47,116358.05872,82754.78,33603.27872,0.28879201913175406
3,ART-00081,Pinar Women Item 81,Apparel,38,94,68705.49958,49158.240000000005,19547.259579999998,0.28450793167203975
4,ART-00080,Vestel Cleaners Item 80,Home Care,34,63,23206.55264,16620.66,6585.892640000002,0.28379452744084965
5,ART-00168,Mis Small Appliances Item 168,Electronics,31,47,231272.6673,165848.9,65423.76730000001,0.28288585963828683
6,ART-00175,Arcelik Cleaners Item 175,Home Care,33,57,15922.82208,11479.800000000001,4443.022079999999,0.27903483802539597
7,ART-00115,Yumos Fruits Item 115,Fresh Produce,39,64,32837.60138,23694.72,9142.881379999999,0.2784271991793086
8,ART-00172,Vestel Bath & Body Item 172,Personal Care,37,65,48273.81965,35010.95,13262.86965,0.27474249492084685
9,ART-00077,Torku Dairy Item 77,Grocery,27,48,7660.54562,5557.92,2102.62562,0.2744746555011051
10,ART-00029,Arcelik Staples Item 29,Grocery,537,1056,599168.26408,434744.64,164423.62407999998,0.27441978144898277
