rank,article_id,article_name,category,transactions,units,revenue,cost,gross_margin,gross_margin_pct
1,ART-00021,Bizim Small Appliances Item 21,Electronics,571,1090,7088597.86273,5295525.2,1793072.66273,0.25295166935022634
2,ART-00040,Yumos Batteries Item 40,Electronics,575,1144,5492682.84003,4956723.2,535959.6400299994,0.0975770230394501
3,ART-00001,Bizim Small Appliances Item 1,Electronics,585,1134,5064773.90601,4611082.14,453691.76601000037,0.08957789122069935
4,ART-00025,Mis Men Item 25,Apparel,578,1091,3459629.73681,2789326.97,670302.76681,0.19374985700870462
5,ART-00030,Komili Men Item 30,Apparel,552,1069,3014827.41966,2188563.6999999997,826263.7196600004,0.2740666726963705
6,ART-00020,Eti Small Appliances Item 20,Electronics,575,1075,2709919.94015,2134262.0,575657.9401500002,0.2124261796893292
7,ART-00027,DeFacto Men Item 27,Apparel,564,1085,1334153.06913,1201789.4000000001,132363.66912999982,0.09921175627644739
8,ART-00038,Arcelik Kids Item 38,Apparel,562,1087,1177758.43258,956983.9299999999,220774.5025800001,0.1874531283094879
9,ART-00031,Vestel Oral Care Item 31,Personal Care,595,1128,966187.77176,794472.9600000001,171714.81175999995,0.1777240581788834
10,ART-00026,Penguen Haircare Item 26,Personal Care,572,1072,833846.29678,666655.36,167190.93678,0.20050570162106415
