transaction_id,date,store_id,article_id,quantity,selling_price,currency,discount_pct,customer_id,weather_condition,reason,rule_id
TXN-103994,04-03-2024,S-005,ART-00037,3,325.26,TRY,0.0,CUST-001244,Humid,exact copy of an earlier row,TRANSACTIONS_EXACT_COPY
TXN-106532,2024-03-08,S-001,ART-00016,3,301.44,TRY,0.0,CUST-001500,Hot,exact copy of an earlier row,TRANSACTIONS_EXACT_COPY
TXN-104502,2024-03-05,S-004,ART-00025,3,3387.28,TRY,0.0,CUST-000328,Cloudy,exact copy of an earlier row,TRANSACTIONS_EXACT_COPY
TXN-111960,13-03-2024,S-003,ART-00146,2,12420.0,KRS,0.0,CUST-000790,Cloudy,exact copy of an earlier row,TRANSACTIONS_EXACT_COPY
TXN-105048,2024-03-06,S-002,ART-00015,1,483.0,TRY,0.0,CUST-000082,Rainy,exact copy of an earlier row,TRANSACTIONS_EXACT_COPY
TXN-126350,2024-03-29,S-004,ART-00025,1,3228.11,TRY,11.5,CUST-000769,Hot,exact copy of an earlier row,TRANSACTIONS_EXACT_COPY
TXN-115732,2024-03-17,S-003,ART-00177,5,45540.0,KRS,0.0,CUST-000286,Cloudy,exact copy of an earlier row,TRANSACTIONS_EXACT_COPY
TXN-100097,2024-03-01,S-001,ART-00030,2,3000.12,TRY,0.0,CUST-001382,Humid,exact copy of an earlier row,TRANSACTIONS_EXACT_COPY
TXN-106435,2024-03-07,S-005,ART-00013,1,509.44,TRY,0.0,CUST-001092,Hot,exact copy of an earlier row,TRANSACTIONS_EXACT_COPY
TXN-112321,2024-03-14,S-001,ART-00001,1,4487.46,TRY,0.0,NA,Cloudy,exact copy of an earlier row,TRANSACTIONS_EXACT_COPY
TXN-125073,2024-03-28,S-001,ART-00008,2,328.12,TRY,0.0,CUST-000435,Hot,exact copy of an earlier row,TRANSACTIONS_EXACT_COPY
TXN-109419,2024-03-10,S-004,ART-00029,3,617.54,TRY,0.0,CUST-001446,Cold,exact copy of an earlier row,TRANSACTIONS_EXACT_COPY
TXN-117017,2024-03-18,S-004,ART-00008,1,347.94,TRY,13.3,CUST-000137,Cloudy,exact copy of an earlier row,TRANSACTIONS_EXACT_COPY
TXN-112224,2024-03-13,S-005,ART-00018,3,385.16,TRY,10.2,CUST-001490,Rainy,exact copy of an earlier row,TRANSACTIONS_EXACT_COPY
